meaning_id,word_id,word,language_code,original_label,text,owner_user_id
2019,12008,ئایدار,fa,Persian,آبدار، قھوەچی,f65f7d2f-996a-4df7-a10e-c6e846940032
6663,12012,ئابدەست,ar,Arabic,مستراح,79dd71fd-aaa5-4f5a-9211-101eeda2d0b8
2032,12014,ئابرا,fa,Persian,داداش,f65f7d2f-996a-4df7-a10e-c6e846940032
3021,13010,ئابروتکاو,fa,فارسی,بی آبرو,f65f7d2f-996a-4df7-a10e-c6e846940032
3023,13011,ئابڕوچوون,fa,فارسی,رسواشدن,f65f7d2f-996a-4df7-a10e-c6e846940032
3025,13012,ئابڵوقە,fa,فارسی,محاصرە,f65f7d2f-996a-4df7-a10e-c6e846940032
3027,13013,ئابوتاب,fa,فارسی,آب و تاب,f65f7d2f-996a-4df7-a10e-c6e846940032
3029,13014,ئابور,fa,فارسی,آبرو، آزرم، فراھم آوردن,f65f7d2f-996a-4df7-a10e-c6e846940032
3031,13015,ئابوری,fa,فارسی,اقتصاد,f65f7d2f-996a-4df7-a10e-c6e846940032
3033,13016,ئابونە,fa,فارسی,آبونە,f65f7d2f-996a-4df7-a10e-c6e846940032
3036,13018,ئاپ,fa,فارسی,عم,f65f7d2f-996a-4df7-a10e-c6e846940032
3038,13019,ئاپۆ,fa,فارسی,عمو,f65f7d2f-996a-4df7-a10e-c6e846940032
3906,13021,ئاپۆڕا,fa,فارسی,بلا، مصیبت، ازدحام، شلوغی,f65f7d2f-996a-4df7-a10e-c6e846940032
3055,13024,ئاتاجی,ar,عەرەبی,احتیاج,f65f7d2f-996a-4df7-a10e-c6e846940032
3048,13025,ئاتون,fa,فارسی,اتدان حمام,f65f7d2f-996a-4df7-a10e-c6e846940032
3050,13026,ئاتەر,fa,فارسی,آتش,f65f7d2f-996a-4df7-a10e-c6e846940032
3052,13027,ئاتەران,fa,فارسی,ھدیان,f65f7d2f-996a-4df7-a10e-c6e846940032
3060,13030,ئاتەشخانە,fa,فارسی,اجاق سنگی,f65f7d2f-996a-4df7-a10e-c6e846940032
3062,13031,ئاتەشکەدە,fa,فارسی,آتشکدە,f65f7d2f-996a-4df7-a10e-c6e846940032
3064,13032,ئاتەشگا,fa,فارسی,نام کوھی در کردستان,f65f7d2f-996a-4df7-a10e-c6e846940032
3066,13033,ئاتەشی,fa,فارسی,آدم آتشین مزاج,f65f7d2f-996a-4df7-a10e-c6e846940032
